accountNumber,ds,predicted_amount,lower_bound,upper_bound,method
101380713,2017-01,18117.11811637779,17277.0116176197,19017.80237462369,prophet
101380713,2017-02,18027.95853092517,17140.057213337677,18872.68840542783,prophet
101380713,2017-03,17947.427292451837,17066.72996350895,18849.463157682432,prophet
101380713,2017-04,17858.267706999213,16953.78142154597,18682.668202978588,prophet
101380713,2017-05,17771.984237206354,16942.32653248583,18670.08095053139,prophet
101380713,2017-06,17682.824651753734,16806.214090810117,18561.32349117258,prophet
102980467,2017-01,12181.908604292212,11465.616101033811,12949.850748149047,prophet
102980467,2017-02,12176.857412139829,11419.813127950063,12897.059173373673,prophet
102980467,2017-03,12172.295045034449,11421.441677487952,12941.407794260133,prophet
102980467,2017-04,12167.243852882064,11396.12135373932,12870.084789020348,prophet
102980467,2017-05,12162.355602412015,11454.87306767664,12928.241294374446,prophet
102980467,2017-06,12157.30441025963,11409.901951871332,12906.336772691928,prophet
104372944,2017-01,14590.374512644315,14554.649003318318,14627.962755065428,prophet
104372944,2017-02,14633.82617630704,14516.604392532532,14754.151604524892,prophet
104372944,2017-03,14673.07284026047,14431.97764759782,14879.737834729756,prophet
104372944,2017-04,14716.524503923196,14321.920686027803,15055.122815527911,prophet
104372944,2017-05,14758.574501016155,14198.400966382122,15241.368519661568,prophet
104372944,2017-06,14802.02616467888,14048.01075193834,15440.734970472093,prophet
109363780,2017-01,13902.713846635152,13704.74957984703,14085.725886855082,prophet
109363780,2017-02,14027.321982143832,13810.147351011434,14254.744531823888,prophet
109363780,2017-03,14139.871265829095,13836.304615236066,14449.598740769334,prophet
109363780,2017-04,14264.479401337778,13831.680204167918,14692.971340583053,prophet
109363780,2017-05,14385.067919571986,13785.980282217422,14928.936404387649,prophet
109363780,2017-06,14509.67605508067,13752.183827329152,15209.267968753058,prophet
110443122,2017-01,7413.1577594807395,6738.920392343135,8136.012301082412,prophet
110443122,2017-02,7378.746732887332,6666.15021258665,8056.663809135556,prophet
110443122,2017-03,7347.665805641674,6640.896746293048,8071.622233806813,prophet
110443122,2017-04,7313.254779048267,6587.4066418321345,7974.830317357437,prophet
110443122,2017-05,7279.953785570776,6614.009079334384,8000.8726851458705,prophet
110443122,2017-06,7245.542758977368,6542.0219796427555,7950.597758048545,prophet
111113489,2017-01,19833.707160533708,18618.821161234173,21136.194837833886,prophet
111113489,2017-02,19990.406391643904,18706.40230454812,21211.92278457213,prophet
111113489,2017-03,20131.941181033762,18858.43735662664,21436.41429392834,prophet
111113489,2017-04,20288.640412143955,18980.75861552923,21480.71153855328,prophet
111113489,2017-05,20440.284829347373,19240.341195531397,21739.284614954606,prophet
111113489,2017-06,20596.984060457573,19329.333236286966,21867.399325419818,prophet
111203726,2017-01,19523.208644038976,19254.298025499607,19796.657006582023,prophet
111203726,2017-02,19462.412263860842,19176.7688514868,19724.493377185867,prophet
111203726,2017-03,19407.499404345108,19124.60597260288,19692.274192273788,prophet
111203726,2017-04,19346.703024166975,19059.514311215175,19638.057534623033,prophet
111203726,2017-05,19287.867817542974,18968.384500954126,19608.696395533683,prophet
111203726,2017-06,19227.07143736484,18893.06072449683,19551.50174982913,prophet
113104883,2017-01,6923.113356158599,6656.775619039617,7208.6558854889645,prophet
113104883,2017-02,6932.878508495579,6651.388112448336,7200.669903678225,prophet
113104883,2017-03,6941.69864609027,6662.510123684425,7227.676408202574,prophet
113104883,2017-04,6951.463798427249,6664.738617949059,7212.7999674932935,prophet
113104883,2017-05,6960.913945850132,6697.852173284336,7245.691607640375,prophet
113104883,2017-06,6970.679098187111,6692.773778731916,7249.190427655367,prophet
114896048,2017-01,2962.6964859619256,1317.4416497010009,4726.585567617473,prophet
114896048,2017-02,3029.679256723238,1290.821505675116,4683.913168460078,prophet
114896048,2017-03,3090.1798238624883,1365.5421220137275,4856.757714519055,prophet
114896048,2017-04,3157.1625946238,1385.9686826492964,4771.520340944106,prophet
114896048,2017-05,3221.9846308444253,1596.965218611461,4981.150532240885,prophet
114896048,2017-06,3288.967401605738,1572.256029293309,5009.422551610998,prophet
115204864,2017-01,32845.19117043363,32418.08807904064,33304.47710172145,prophet
115204864,2017-02,32863.28126302649,32413.18036346023,33293.4995486497,prophet
115204864,2017-03,32879.62070149746,32436.412777815938,33341.73246194481,prophet
115204864,2017-04,32897.71079409032,32423.22855714404,33319.414396584136,prophet
115204864,2017-05,32915.21733530921,32473.928901880878,33365.12337605428,prophet
115204864,2017-06,32933.30742790207,32471.7899754039,33407.104091844696,prophet
119877862,2017-01,12389.466757725226,12161.923523498132,12630.730824055172,prophet
119877862,2017-02,12403.032071722517,12162.232522535056,12634.427533975335,prophet
119877862,2017-03,12415.28461339749,12177.22110404518,12659.069622707455,prophet
119877862,2017-04,12428.849927394784,12197.672912527323,12666.70955342854,prophet
119877862,2017-05,12441.977650617968,12205.50866201783,12688.68942196931,prophet
119877862,2017-06,12455.54296461526,12218.66688336813,12698.615475243967,prophet
121492310,2017-01,16690.632931142558,16541.970547124958,16836.71311773669,prophet
121492310,2017-02,16676.04025967749,16542.11459205121,16825.366125206107,prophet
121492310,2017-03,16662.85978222517,16518.874471660336,16820.17598612206,prophet
121492310,2017-04,16648.2671107601,16507.98919046525,16794.150257337897,prophet
121492310,2017-05,16634.145170632615,16478.180663811647,16785.723300400427,prophet
121492310,2017-06,16619.552499167545,16469.683141007907,16775.59350418678,prophet
123648720,2017-01,5011.456368172731,4358.103738459336,5711.920238384281,prophet
123648720,2017-02,4979.7541563759705,4289.230561467841,5636.67250565325,prophet
123648720,2017-03,4951.119900559541,4266.243268009701,5652.651529395969,prophet
123648720,2017-04,4919.417688762781,4216.0529620025345,5560.500683002492,prophet
123648720,2017-05,4888.738128959463,4243.421273707215,5587.326338198831,prophet
123648720,2017-06,4857.035917162702,4175.306941785384,5540.2515929871715,prophet
125221039,2017-01,8115.686517951231,7848.276526213359,8412.229845937787,prophet
125221039,2017-02,8109.100187561479,7820.461491606821,8389.158690707585,prophet
125221039,2017-03,8103.15124398364,7816.295761573583,8399.310015206218,prophet
125221039,2017-04,8096.56491359389,7805.850990490745,8368.84551067443,prophet
125221039,2017-05,8090.191045474777,7789.800731823904,8379.6690446795,prophet
125221039,2017-06,8083.604715085026,7818.931238754015,8368.447654770052,prophet
126809470,2017-01,-1952.3699321406093,-4018.523924434619,262.76804379370947,prophet
126809470,2017-02,-2031.8543562663767,-4215.557333886591,45.57577595451713,prophet
126809470,2017-03,-2103.646739347716,-4269.49179068292,114.86791955656544,prophet
126809470,2017-04,-2183.131163473484,-4407.442714519402,-155.7785648804758,prophet
126809470,2017-05,-2260.0515739177754,-4300.79342703061,-50.84504591426193,prophet
126809470,2017-06,-2339.5359980435433,-4495.426969543707,-178.94348573206923,prophet
127398035,2017-01,9192.938919822522,8528.604691871631,9871.085668810934,prophet
127398035,2017-02,9223.553260936515,8537.805670354832,9858.83474254668,prophet
127398035,2017-03,9251.204923878184,8562.770078373369,9923.652936184804,prophet
127398035,2017-04,9281.819264992173,8609.887050053216,9973.927849866799,prophet
127398035,2017-05,9311.446046715391,8620.111848321081,10004.521048524026,prophet
127398035,2017-06,9342.060387829382,8655.30861358679,10047.734720483864,prophet
128103719,2017-01,20761.72687227462,19228.972972802683,22405.00292222473,prophet
128103719,2017-02,20844.58306839561,19224.626731878696,22385.70210810434,prophet
128103719,2017-03,20919.420922956502,19312.712238282023,22565.201907238326,prophet
128103719,2017-04,21002.27711907749,19352.195680414723,22506.246696477247,prophet
128103719,2017-05,21082.46053467845,19568.558470189557,22721.336254372032,prophet
128103719,2017-06,21165.316730799437,19565.99241134103,22768.128813979696,prophet
128258324,2017-01,23336.8949667562,22221.205730824626,24533.03312001037,prophet
128258324,2017-02,23314.523726542488,22135.360015202783,24436.304459968833,prophet
128258324,2017-03,23294.317445059132,22124.794218589246,24492.278015678472,prophet
